site_id,DSWD_mm,MAP_mm,PET_mm,clay_pct,sand_pct,silt_pct,stand_age_yr,species_code,lon,lat
1,2.462185878,587.4805298,1057.070968,21.14285714,41.42857143,37.42857143,1,100,107.68,35.22
2,10.48319935,587.4805298,1048.690323,21.14285714,41.42857143,37.42857143,2,100,107.7,35.23
3,-1.025060271,592.4490967,1022.722581,21.14285714,41.42857143,37.42857143,3,100,107.72,35.25
4,0.898336319,592.4490967,1026.174194,21.14285714,41.42857143,37.42857143,4,100,107.73,35.27
5,-22.06235543,528.9052124,990.2096774,21.14285714,41.42857143,37.42857143,5,101,106.77,35.87
6,6.41446608,587.4805298,1037.306452,21.14285714,41.42857143,37.42857143,5,100,107.67,35.23
7,-9.246952931,592.4490967,1049.119355,21.14285714,41.42857143,37.42857143,5,100,107.75,35.28
8,5.808803863,592.4490967,1073.087097,21,34.14285714,44.85714286,5,100,107.77,35.3
9,-80.28459341,587.4805298,1037.306452,21.14285714,41.42857143,37.42857143,6,100,107.67,35.23
10,-40.73115953,598.9641113,1095.941935,21.14285714,41.42857143,37.42857143,8,100,109.4,35.7
11,-14.35920437,528.9052124,990.2096774,21.14285714,41.42857143,37.42857143,8,101,106.77,35.87
12,-1.163432085,603.4936523,1060.106452,21,34.14285714,44.85714286,8,100,107.67,35.2
13,-37.54962891,598.9641113,1095.941935,21.14285714,41.42857143,37.42857143,8,100,109.4,35.7
14,-115.3698818,364.3585815,1003.019355,19.71428571,47.42857143,32.85714286,9,101,105.07,36.18
15,-65.62084408,364.3585815,1003.019355,19.71428571,47.42857143,32.85714286,9,101,105.07,36.18
16,-85.16633995,587.4805298,1037.306452,21.14285714,41.42857143,37.42857143,9,100,107.67,35.23
17,-119.4121893,603.4936523,1064.635484,21,34.14285714,44.85714286,11,100,107.67,35.2
18,-158.8375584,528.9052124,990.2096774,21.14285714,41.42857143,37.42857143,12,101,106.77,35.87
19,-679.1618533,603.4936523,1064.635484,21,34.14285714,44.85714286,12,100,107.67,35.2
20,-55.28866921,683.4620972,1187.058065,23.85714286,43,33.14285714,12,102,109.17,34.18
21,-415.2765421,425.7210388,1094.716129,20.42857143,42.14285714,37.42857143,13,103,112.32,39.31
22,-771.4942412,603.4936523,1064.635484,21,34.14285714,44.85714286,15,100,107.67,35.2
23,-69.24602761,643.3436279,1131.63871,25.57142857,37,37.42857143,15,104,110.15,34.54
24,-355.5069072,550.1047363,1114.545161,21.14285714,41.42857143,37.42857143,15,100,109.39,36.66
25,-251.4983193,504.2963562,1127.432258,21.14285714,41.42857143,37.42857143,15,105,111.8,36.38
26,-404.1736265,603.4936523,1064.635484,21,34.14285714,44.85714286,16,100,107.67,35.2
27,-593.2744374,550.1047363,1114.545161,21.14285714,41.42857143,37.42857143,16,106,109.39,36.66
